 City Name, City Code, Country, Total population, Men population, Women population
 Kujawsko-pomorskie,K-P,Polska,2050976,993882,1057094
 Lubelskie,LBL,Polska,2088292,1012376,1075916
 Lubuskie,LBU,Polska,1001411,488395,513016
 Łódzkie,LDZ,Polska,2442685,1164579,1278106
 Małopolskie,MLP,Polska,3371956,1637265,1734691
 Mazowieckie,MAZ,Polska,5401434,2586079,2815355
 Opolskie,OPO,Polska,942233,457048,485185
 OpolskieTest,OPO,Polska,942233,457048,485185
 Podkarpackie,PKR,Polska,2084447,1021912,1062535
 Podlaskie,PDL,Polska,1149389,560457,588932
 Pomorskie,POM,Polska,2316135,1127593,1188542
 Śląskie,SLA,Polska,4475460,2159267,2316193
 Świętokrzyskie,SWI,Polska,1218743,594511,624232
 Warmińsko-mazurskie,W-M,Polska,1399038,684333,714705
 Wielkopolskie,WLK,Polska,3479525,1693988,1785537
 WielkopolskieTest,WLK,Polska,3479525,1693988,1785537
 Zachodniopomorskie,ZPM,Polska,1671605,812658,858947
